epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,101.268,0.92537,0.32209,0.28761,0.59496,1.06312,0.99781,1,0.995,0.78594,0.99781,1,0.995,0.95992,0.85046,0.21618,0.09215,0.4151,0.97329,0.0015116,0.0015116,0.0015116
39,102.773,0.94957,0.3455,0.33995,0.59331,1.09051,0.99734,1,0.995,0.79073,0.99734,1,0.995,0.98581,0.85311,0.21829,0.08206,0.43923,0.97206,0.0014984,0.0014984,0.0014984
40,104.319,0.90549,0.33434,0.30794,0.58628,1.06681,0.96709,1,0.995,0.78125,0.96709,1,0.995,0.99188,0.81091,0.15756,0.06815,0.40832,0.95016,0.0014852,0.0014852,0.0014852
41,105.834,0.91465,0.34575,0.25993,0.57438,1.04591,0.95107,1,0.995,0.74219,0.95107,1,0.995,0.98461,0.93934,0.15231,0.03511,0.47761,1.04699,0.001472,0.001472,0.001472
42,107.392,0.9063,0.35855,0.24746,0.55851,1.05704,0.96566,1,0.99403,0.77493,0.96566,1,0.99403,0.94256,0.83784,0.26986,0.05407,0.43948,0.99499,0.0014588,0.0014588,0.0014588
43,108.902,0.92724,0.31579,0.29402,0.6167,1.07581,0.99727,1,0.995,0.80801,0.99727,1,0.995,0.96802,0.79671,0.19818,0.07939,0.44107,0.98263,0.0014456,0.0014456,0.0014456
44,110.411,0.89472,0.43253,0.32116,0.62055,1.07166,0.99655,1,0.995,0.75887,0.99655,1,0.995,0.97367,0.89449,0.17492,0.0474,0.4887,1.01559,0.0014324,0.0014324,0.0014324
45,111.9,0.92386,0.2977,0.25886,0.58745,1.05593,0.99745,1,0.995,0.72623,0.99745,1,0.995,0.97697,0.94564,0.20214,0.03312,0.43195,1.03334,0.0014192,0.0014192,0.0014192
46,113.363,0.92129,0.3815,0.32137,0.6122,1.08923,0.99758,1,0.995,0.76922,0.99758,1,0.995,0.96405,0.8526,0.2027,0.02496,0.43564,0.98133,0.001406,0.001406,0.001406
47,114.955,0.90097,0.29887,0.29689,0.57527,1.06066,0.99461,1,0.995,0.80155,0.99461,1,0.995,0.98989,0.86016,0.14313,0.02902,0.41282,0.97882,0.0013928,0.0013928,0.0013928
